Afrikaans,Category,English_Definition,English_Term,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Siswati,Tshivenda,Xitsonga
Gesinsvoordeel,                              Labour                                      ,"A benefit to one’s family as a result of working, other than pay to oneself, for example, housing or use of land.",Family gain,Ukubuyelwa komndeni,Inzuzo yosapho,Inzuzo yasekhaya,Diputseletšo tša lapa,Kuno ya lelapa,Poelo ya lelapa,Lokuzuzwa ngumndeni,Mbuelo ya muṱa/haya,Mbuyelo wa ndyangu
Formele sektor,                              Labour                                       ,Sector of employment made up of all employing businesses that are registered in any way.,Formal sector,Ikoro ehlelekileko,Icandelo elinemigqalisela/ elimiselweyo,Umkhakha ohlelelekile,Lekala/lefapa la semolao,Indasteri e molaong; lekala le molaong,Lephata le le tlhomameng,Emabhizinisi lahlelekile,Sia /sekithara nzudzanywa,Xiyenge xa ximfumo
Volledige werkverskaffing,                              Labour                                       ,"Situation when the economy is producing to its maximum sustainable capacity, using labour, technology, land, capital and other factors of production to their fullest potential.",Full employment,Ukusebenza okupheleleko,Ingqesho esisigxina,Ukuqashwa ngokugcwele,Mošomo ka botlalo,Kgiro ka botlalo,Mmereko o o feletseng; tiro e e feletseng,Kucashwa ngalokuphelele,Mushumonḓalo / phuphumo,Ntirho wa nkarhi hinkwawo
Voltydse werknemer,                              Labour                                       ,"Employee (permanent, temporary or casual) who normally works the agreed hours for a full day’s work, or, if agreed hours do not apply, for at least 35 hours a week.",Full-time employee,Isisebenzi sesikhathi esipheleleko,Umqeshwa osisigxina,Oqashwe ngokugcwele,Mošomi wa nako ka moka,Mohiruwa wa nako tsohle,Modiri/mothapiwa wa leruri,Umcashwa ngalokugcwele,Mushumi wa tshoṱhe,Mutirhi wa nkarhi hinkwawo
Bruto verdienste,                              Labour                                       ,"Payments for ordinary-time, standard or agreed hours and over-time hours during the reference period for all permanent, temporary, casual, executive and managerial employers/employees before taxation and other deductions. Inclusions: Payments in kind to farming employees such as meals, rations and free housing, but excluding rations and bonuses to farming contractors and their employees.",Gross earnings,Ingeniso epheleleko,Intlawulo esisambuku,Isamba somholo/igrosi,Ditseno ka kakaretšo,Moputso o sekolokoto,Dituelo pele ga ditloso,Sambakhulu seliholo,Mbueloguṱe,Miholo hinkwayo
Ure gewerk,                              Labour                                      ,"The total time spent producing goods and services, including overtime, during the reference period.",Hours worked,Ama-awa/ama-iri asetjenziweko,Iiyure ezisetyenziweyo,Amahora asetshenziwe,Diiri tšeo di šomilwego,Dihora tse sebeditsweng,Diura tse di dirilweng,Ema-awa lasetjentiwe,Awaratshumelwa,Tiawara leti tirhiweke
Inkomste (maatskappy),                              Labour                                      ,"All money received from sales of goods, services rendered, mineral rights leases; rental of land, buildings and other structures, plant, machinery, and motor vehicles; interest and dividends, royalties, franchise fees, copyright, trade names and patens rights, government subsidies and incentives, net profit on foreign loans, profit from redemption, liquidation or revaluation of liabilities, profile from the sale of realisation for cash or revaluation.",Income (company),Ingeniso; imali (ikhamphani),Ingeniso (inkampani/ikhampani),Imali engenayo (enkampanini),Ditseno (tša khamphane),Lekeno ( khamphani),Lotseno (setlamo),Malingena,Mbuelo (khamphani),Mbuyelo (khamphani)
Inkomste (individu),                              Labour                                      ,"All money received from salary, wages or own business; plus money benefits from employer, such as contributions to medical aid and pension funds; plus all money from other sources, such as additional work activities, remittances from family members living elsewhere, state pension or grant, other pensions or grants, income from investments, etc.",Income (individual),umvuzo (womuntu ngamunye),Umvuzo womntu (umntu ngamnye),Imali engenayo (yomuntu),Moputso (wa motho),Lekeno (motho),Lotseno (motho-ka-esi),Liholo,Mbuelo (muṋe),Mbuyelo (munhu)
Informele werkverskaffing,                              Labour                                      ,It includes all persons in the informal sector. Employees in the formal sector and persons employed in private households who are NOT entitled to basic benefits such as pensions or medical aid are also included.,Informal employment,Umsebenzi ongakahleleki,isingxungxo,Ukuqashwa okungenazinsizakalo,Letogo,Mosebetsi o se nang dibenefiti/menyetla/melemo,Letogo / Tirotlhokatshiamelo / Sekoropo,Litoho,Mushumo zwawo / Tshikoropo,Ntholo wo ka wu nga ri wa ximfumo
Informele sektor (Werkverskaffing en Pryse),                             Labour                                      ,"The informal sector consists of those businesses that are not registered in any way. They are generally small in nature, and are seldom run from business premises. Instead, they are generally run from homes, street pavements and other informal arrangements.",Informal sector (Employment and Price),Irhwebo elingakahleleki,Icandelo elingamiselwanga (iNgqesho namaXabiso),Umkhakha ongahlelelekile,Lefapa la go se be la semolao,Indasteri e seng molaong (kgiro le theko),Lephata le le sa tlhomamang,"Tipaza, emabhizinisi langakahleleki",Sia / sekithara tshayanzudzanywa (Mushumo na Mitengo),Xiyenge xo kala xi nga ri xa ximfumo (vuthoriwa na mixavo)
Betrekking,                             Labour                                      ,"A job comprises filled posts. One person may have more than one job. The LFS asks additional questions of multiple jobholders to get information, at least, about their primary and secondary jobs. On the other hand, QES covers the number of employed persons in enterprises/establishments, which do not know whether their employees have other jobs. Aggregating figures on employed persons over firms measure jobs not persons. Social security records or tax registrations might be another way of showing the relation between jobs and persons (ILO and Stats SA).",Job,Umsebenzi,Umsebenzi,Umsebenzi,Mošomo/ modiro/ mmereko,Mosebetsi,Tiro; mmereko,Umsebenti,Mushumo,Ntirho
Werkverlater,                             Labour                                      ,"Unemployed person who had a job, but does not have one anymore because of their own decision. Examples of reasons:  Pregnancy  Family / community responsibilities  Going to school  Changed residence  Retired  Other reasons",Job-leaver,Umthokozimsebenzi,umntu oyeke okanye oshiye umsebenzi,Abayeke umsebenzi,Baitokolla-mošomong / Modirong / Mmerekong,Batho ba tlohelletseng mosebetsi,Batlogelatiro,Labayekele umsebenti,Muṱutshelamushumo / Mulitshamushumo,Mutshiki wa ntirho
Werkverloorder,                              Labour                                       ,"Unemployed person who had a job, but does not have one anymore because of reasons beyond their control. Examples of reasons:  Lost their job  Their job had ended  They were laid off  The business in which they had previously worked had been sold or had closed down",Job-loser,Abalahlekelwe msebenzi,olahlekelwe ngumsebenzi,Abalahlekelwe / Abaphelelwe umsebenzi,Balokollwa-mošomong / Modirong / Mmerekong,Batho ba felletsweng ke mosebetsi,Balatlhegelwatiro,Labaphelelwe ngumsebenti / Labadendiwe / Bomahlalela,Muxelelwa nga mushumo / Mufhelelwa nga mushumo,Mulahlekeriwi hi ntirho
Arbeidsopnemingskoers,                              Labour                                       ,The proportion of the working-age population that is employed.,Labour absorption rate,Isilinganiso sabantu abasebenzako,umlinganiselo wengqesho,Izinga labasebenzi lokuqashela,Kelo ya go thwala bašomi,Karolo ya bahiruwa; sekgahla sa kgiro ya basebetsi,Kelo ya go thapa,Lizinga lekucashwa kwebantfu,Tshikalambalo ya vhashumi,Mpimo wa matholelo ya vatirhi
Arbeidstate,                              Labour                                       ,"A statistical system of core variables on labour that consists of a set of tables providing a systematic and consistent overview, mutually and over time, of the core variables (ILO).",Labour accounts,Ama-akhawundi wezemisebenzi,Iimeko zeenkcukacha kwezemisebenzi,Imidanti yomisebenzi,Dikgoboko tšhupetšo tša bašomi,Diakhaonte tsa basebetsi,Mananeo a badiri,Ema-akhawunti etemisebenti,Mbalelano dza vhashumi / mushumo,Tinkota ta vatirhi
Arbeidskoste,                              Labour                                       ,All the expenses incurred by the employer for a particular task to be completed (ILO).,Labour cost,Iindleko zomsebenzi,Indleko zomsebenzi,Izindleko zokusebenza,Ditshenyagalelo tša (mong) mošomo,Ditjeo tsa basebetsi,Ditshenyegelo tsa tiro,Tindleko tetemisebenti,Tshinyalelo ya mushumo,Tihakelo ta vatirhi
Arbeidsmag,                             Labour                                    ,All employed and unemployed persons of working age.,Labour force,Abantu bokusebenza,Iqela labasebenzi,Isikwatha / ithimba labasebenzi,Lebotho la bašomi,Ba dilemong tsa ho sebetsa,Balekanelatiro/basiamelatiro,"Bantfu bekusebenta, tisebenti",Vhalugelamushumo,Vanhu lava ringaneleke ku tirha
Arbeidsmag-deelnamekoers,                             Labour                                    ,See labour participation rate.,Labour force participation rate,Isilinganiso sokusebenza kwabantu,imlinganiselo wenkxaxheba yeqela labanokusenza,Izinga labambe iqhaza emsebenzini,Kelo ya botšeakarolo bja lebotho/ lekoko la bašomi,seabo sa basebetsi,Kelo ya balekanelatiro/basiamelatiro,Lizinga lekutibandzakanya kwebantfu bekusebenta,Tshikalavhudzhenela vhalugelamushumo,Mpimo wo hoxa xandla xa vanhu lava ringaneleke ku tirha
Arbeidsmark,                             Labour                                    ,"All persons aged 15–64 years who are employed, unemployed and not economically active (inactive).",Labour market,Imakethe yomsebenzi,Imo yemarike yabangasebenza,Abangaqasheka/ abangaba izisebenzi,Mmaraka wa bašomi,Mmaraka wa basebetsi,Balekanelatiro/basiamelatiro,Imakethe yebantfu bekusebenta,Tshigwada tsha vhalugelamushumo,Vanhu lava ringaneleke ku tirha
Arbeidsmarkdinamiek,                             Labour                                    ,"Movement into, out of, and within the labour market over a specified time period.",Labour market dynamics,Amatjhuguluko wemakethe yomsebenzi,Intshukumo yeziko labasebenzi,Ukuguquguquka kwesimo sabangaqasheka,Diphetogophetogo tša mmaraka wa bašomi,Sekgahla sa mmaraka wa basebetsi,Diphetogo tsa balekanelatiro/basiamelatiro,Tingucungucuko temakethe yebantfu bekusebenta,Thitho dza tshigwada tsha vhalugelamushumo,Ku cinca ka swiyimo swa timakete ta vatirhi
Arbeidsmarkstatus,                             Labour                                     ,"Classification as employed, unemployed or not economically active.",Labour market status,Ubujamo bemakethe yomsebenzi,Ubume boluhlu lwemarike yabasebenzi,Izimo zabangaqasheka,Maemo a mmaraka wa bašomi,Boemo ba mmaraka wa basebetsi,Kemo ya balekanelatiro/basiamelatiro,Bunjalo bemakethe yebantfu bekusebenta,Thitho (u dzulela u shanduka) tshiimo tsha tshigwada tsha vhalugelamushumo,Swiyimo swa timakete ta vatirhi
Arbeidsdeelnamekoers,                             Labour                                     ,"The percentage of the working-age population that is economically active (employed and unemployed), i.e. labour force/labour market. Synonym is labour force participation rate.",Labour participation rate,Isilinganiso sokusebenza kwabantu,Umlinganiselo wenxaxheba yabasebenzi,Izinga lokubabamba iqhaza emsebenzini,Kelo ya go tšea karolo ga bašomi,Sekgatlha sa seabo sa basebetsi,Kelo ya bonnaleseabe jwa balekanelatiro/basiamelatiro,Lizinga lekutibandzakanya kwebantfu bekusebenta,Tshikala vhudzhenelavhalugelamushumo,Mpimo wa ku hoxa xandla wa vanhu lava ringaneleke ku tirha
Wetlike werksouderdom,                             Labour                                     ,"See working age, legal.",Legal working age,Iminyaka yobudala yokusebenza ngokomthetho,Iminyaka esemthethweni yokusebenza,Iminyaka esemthethweni yokuqasheka,Mengwaga ya maloka a go šoma,Dilemo tsa molao tsa ho sebetsa,Dingwaga tsa go dira tsa semolao,Iminyaka yekusebenta lesemtsetfweni,Murolendugelamushumo,Malembe yo tirha ya xinawu
Uitsluiting,                             Labour                                     ,"A work stoppage in which an employer prevents some or all employees from working, even to the extent of closing the business. Note: This usually happens when there is a dispute between the employer and employees.",Lockout,Ukuvalelwa ngaphandle (kweensebenzi),ukuvalelwa ngaphandle emsebenzini,Ukuvalelwa ngaphandle kwabaqashiwe / Kwezisebenzi,Go tswalelelwa ka ntle,Thibelo,Tswalelontle / Kganelotiro,Kuvalelwa ngaphandle emsebentini,U valelwa/u thivhela vhathu u shuma ngau vha valela nnḓa,Ku pfaleriwa ntirho
Langtermynwerkloosheid,                             Labour                                     ,The status of a person who has been unemployed for a period of twelve months or more.,Long-term unemployment,Ukungasebenzi isikhathi eside,ukungaphangeli ixesha elide,Ukungaqashwa isikhathi eside,Go se šome ga lebaka le letelele,Ho se sebetse nako e telele,Tlhokatiropakaleele/pakatelele,Kungacashwa,U fhedza tshifhinga tshilapfu u sa shumi,Ku pfumala ntirho nkarhi wo leha
Markproduksiebedrywigheid,                             Labour                                     ,Activities associated with the production of goods and services for sale. Government services are also included. See economic activities.,Market production activities,Imisebenzi yemikhiqizo yeemakethe,iimveliso zorhwebo,Umsebenzi wokukhiqiza okuzodayiswa,Ditiro tša tšweletšo ya mmaraka,Mesebetsi ya tlhahiso bakeng la mmaraka,Ditirwanakumommaraka,Kukhicitela kutsengisa,"Mushumo wa vhubveledzi ha mbambadzo / Nyito ya vhubveledzi ha mbambadzo
",Migingiriko yo andzisa switirhisiwa
Nuwe toetreder tot werkloosheid,                             Labour                                     ,Unemployed people who have never worked before.,New entrant into unemployment,Abathoma ukubalwa nabatlhoge / Nabadinge umsebenzi,umntu ongena kwiqela labangenamsebenzi,Ongakaze aqashwe,Monyakamošomo wa setlaboswana,Motho ya kenang dipalong tsa ba so kang ba sebetsa,"Mogorogamašwabotlhokatirong / Motsenabotlhokatirong / Setlabošwanabotlhokatirong
",Labangazange sebacashwe / Losengakacashwa,Muthu muswa /mudzheni kha vhushayamushumo,Munhu loyi a nga si tshamaka a tirha
Nieregeringsorganisasie,                             Labour                                     ,"Institutions which are not established or operated by government. NGOs are usually private, non-profit entities which are run by their members.",Non-government organisations,Ihlangano ekungasiyo karhulumende,amaziko angengawo akarhulumente,Inhlangano okungeyona ekahulumeni,Mekgatlo ye e sego ya mmušo,Mekgatlo eo e seng ya mmuso,Ditheoikemelo / Mekgatlhoikemelo,Tinhlangano letitimele / Tinhlangano tangasese,Madzangano a si a muvhuso,Nhlangano wo ka wu nga ri wa mfumo
Niemarkproduksiebedrywigheid,                             Labour                                      ,Activities associated with the production of goods and services for household consumption.,Non-market production activities,Imisebenzi engasiyo yemikhiqizo yeemakethe,imveliso ezingezizo ezorhwebo,Umsebenzi wokukhiqizela ukungadayisi,Ditiro tša tšweletšo ye e sego ya mmaraka,Mesebetsi ya tlhahiso bakeng la tshebediso ya lelapa,Ditirwanakumotlhokammaraka,Kukhicitela kutitsengisela / Umkhicito wekutiidlela,Mishumo ya u bveledza zwi sa rengiswi,Migingiriko leyi nga tswaliki nchumu
Bevolking wat nie ekonomies aktief is nie,                             Labour                                      ,"People who are not available for work, such as full-time scholars and students, full-time homemakers, those who are retired and those who are unable or unwilling to work.",Not economically active population,Abangasebenziko,Abantu abangenagalelo kwezoqoqosho,Abangangenile shi kwezomnotho,Setšhaba sa go hloka maloka a go šoma,Setjhaba se senang seabo moruong,Batho ba ba se nang seabe mo ikonoming,Labangakalungeli kusebenta,Vhathu tshayandugelamushumo,Vanhu lava nga kumekiki ku tirha
Beroep,                             Labour                                      ,"The type of work a person does according to the South African Classification of Occupations, irrespective of the industry.",Occupation,Umhlobo womsebenzi,Uhlobo lomsebenzi,Umsebenzi owenzayo,Mošomo,Mosebetsi,Tiro; mmereko,Umsebenti,Mushumo,Ntirho
Beroepsgroepe,                             Labour                                      ,"Occupational groups are divided into eleven groups; for example, senior managers, professionals, technicians, services workers, labourers, etc. (Stats SA).",Occupational groups,Iinqhema zemihlobo yemisebenzi,Amaqela eendidi zomsebenzi,Amaqoqo emisebenzi,Dihlopha tša bašomi,Dihlopha tsa mesebetsi,Maemotirong,Tikhundla ngekwemisebenti,Zwigwada zwa mushumotetshelwa,Mitlawa ya vatirhi
Amptelike en uitgebreide definisie van werkloosheid,                             Labour                                     ,"Stats SA uses the following definition of unemployment as its official definition: The unemployed are those people within the economically active population who: (a) did not work during the seven days prior to the interview, (b) want to work and are available to start work within two weeks of the interview, and (c) have taken active steps to look for work or start some form of self-employment in the four weeks prior to the interview. The expanded definition of unemployment excludes criterion (c).",Official and expanded definition of unemployment,Ihlathululo esemthethweni neluliweko yokungasebenzi,"Inkcazelo yentswela-ngqesho ngokwasemthethweni nechazwe ngokupheleleyo
",Incazelo elulekile yokungasebenzi kwabantu esemthethweni,Tlhalošokatološwa ya semmušo ya ba go hloka mošomo le ba go se šome,Tlhaloso ya semmuso le e ekeditsweng ya ho se sebetse,Thanolo ya semmuso e e atolositsweng ya botlhokatiro,Inchazelo lesemtsetfweni naleluliwe yekungasebenti,Ningothanḓavhudzwa ya mulayo / tshiofisi ya tshayamushumo,Nhlamuselo ya ximfumo na yo ndlandlamuxiwa ya ku nga tirhi
Buite arbeidsmark,                             Labour                                     ,See not economically active population.,Out of labour market,Abangasebenziko,Abantu abangekho msebenzini,Abangaqasheki,Bao ba sa šomego,Ka thoko ho mmaraka wa mosebetsi,Batho ba ba sa siamelang/lekaneng go dira,Ngaphandle kwemakethe yebantfu bekusebenta,Nnḓa ha tshigwada tsha vhalugelamushumo,Vanhu lava nga kumekiki ku tirha
Oortyd,                             Labour                                     ,"Hours worked in excess of ordinary time, standard or agreed hours.",Overtime,Isikhathi eseqileko,Ixesha lokusebenza elingaphezu kwelimiselweyo emsebenzini,Isikhathi esisetshenziwe esingaphezu kwesimisiwe/i -ova,Nako ye e okeditšwego; phitišanako ya mošomo,Nako e ekeditsweng,Nakotlolo; nakopheteledi,"Ema-ova, sikhatsi lesengcelele",Phirisatshifhinga tsha mushumo,Nkarhi wo engetela
Betaalde oortydure,                             Labour                                     ,"Those hours worked in excess of ordinary-time hours, standard or agreed hours of work that was paid for in the reference period.",Overtime hours paid for,Ama-awa wesikhathi eseqileko / we- ovathayimu abhadaliweko,Iiyure zokusebenza ezihlawuliweyo zexesha elingaphezu kwelimiselweyo,Amahora e-ova akhokhelwe,Diiri tša nako ye e okeditšwego tša mošomo,Dihora tse lefellwang tsa nako e ekeditsweng,Diura tsa nakotlolo/nakopheteledi tse di duelelwang,"Ema-awa/ ema-ova lakhokhelwe, ema-awa esikhatsi lesengcelele lakhokhelwe
",Awarambadelwa dza phirisatshifhinga,Tiawara to engetela to hakeriwa
Oortydbetalings,                             Labour                                      ,"Payment for hours worked and paid for in excess of ordinary-time hours, standard or agreed hours worked for the reference period. Penalty payments that relate to overtime are also included.",Overtime payments,Iimbadelo zesikhathi eseqileko/ ze-ovathayimu,Iintlawulo zexesha elingaphezu kwelimiselweyo,Inkokhelo ye -ova,Meputso ya nako ye e okeditšwego,Ditefello tsa nako e ekeditsweng,Dituelo tsa nakotlolo; dituelo tsa nakopheteledi,Inkokhelo yesikhatsi lesengcelele,Mbadelo dza phirisatshifhinga,Tihakelo ta nkarhi wo engetela
Werker vir eie rekening,                             Labour                                      ,Preferred term is self-employed.,Own-account worker,Umuntu ozisebenzako,Umntu ozisebenzelayo,Umuntu ozisebenzayo,Moitiredi/Moitšhomedi,Moitshebetsi,Moithapi; moitiredi,Lotisebentako,Muḓishumeli,Mutitirhi
Betaalde huiswerk,                             Labour                                      ,Work done in a private household for a cash payment.,Paid domestic work,Umsebenzi wekhaya obhadelako,umsebenzi wasekhaya ohlawulwayo,Umsebenzi wasendlini okhokhelwayo,Mošomo wa ka gae wo o lefelwago,Mosebetsi o lefshwang wa lelapa,Tirogaetuelelwa,Sisebenti sasendlini / Sisebenti sasekhaya lesikhokhelwako,Mushumo wa nḓuni une wa badelwa,Ntirho wa le kaya lowu hakelaka
Deeltydse werknemers,                             Labour                                      ,"Employee (permanent, temporary, casual or seasonal) who normally works less than 35 hours per week.",Part-time employees,Iinsebenzi ezitorhako,Abasebenzi abangesosigxina/ abangxungxi,Izisebenzi eziqashwe okwesikhashana,Bašomedi ba nakwana,Bahiruwa ba nakwana,Badiredi/bathapiwa ba nakwana,Bacashwa besikhatsi lesitsite,Vhashuma-/ vhatholwa-/ vhahirwa tshifhinganyana,Vatirhi va xinkarhana
Lopendebetaalstelsel (LBS),                            Labour                                      ,An amount collected by employers on behalf of the government from employees whose net remuneration from employment exceeds a predefined amount.,Pay As You Earn (PAYE),UmThelo umQatjhi awuDosa esiSebenzini,"irhafu etsalwa ngokomrholo, intlawulo ngokomvuzo",Intela ngokweholo,Motšhelo go ya ka moputso,Kgafa Ho Ya Ka Mokgolo,Duela Jaaka O Amogela (DJOA),Intsela ngekweliholo,Muthelo zwi tshi ya nga muholo,Xibalo Ku ya Hi Muholo
Betalingsbenadering,                            Labour                                      ,"An approach that takes into account the total payments made for goods and services during a given period, whether or not they were delivered in that period.",Payment,Indlela yokubhadela,indlela yokuhlawula,Indlela yokukhokha,Mokgwa wa tefo,Mokgwa wa tefo,Mokgwatuelo,Indlela yekubhadala,Nḓila ya kubadelele,Mahakelelo
Betaling in natura,                            Labour                                      ,A kind of payment other than cash for work undertaken.,Payment in kind,Ukuthokoza,intlawulo engeyomali,Ukungakhokhi ngemali,Tefo ye e sego ya tšhelete,Teboho,Tuelosengmadi / Tuelotlhokamadi,Kukhokhela ngandlela tsite,Malamba a si a masheleni / Mbadelo i si ya masheleni,Xikhenso
Pensioentrekker,                            Labour                                      ,"(1)Any person of pensionable age (2)A person who draws a pension from a previous employer or pension fund, or who receives a state pension.",Pensioner,Umhlaliphasi; umpentjheni,Odl’ umhlalaphantsi,Osempeshile; osempeshenini,Phensenara/mogolamphiwafela,Mopenshenara,Mogodi; mophenšenara,Umhlaliphansi,Munothi /mundendi,Muholi wa mudende/mudendi
Prestasie- en ander bonusse,                             Labour                                      ,"Performance and other bonuses cover seasonal, end-of-year and one-time bonuses and additional payments supplementary to normal payments. Note: They include profit- sharing bonuses, merit bonuses, incentive bonuses, and total amounts of payments that were paid during the reference period but relate to other pay periods, e.g. annual leave, thirteenth cheques. Performance and other bonuses exclude reimbursements for expenses incurred whilst conducting employer’s business.",Performance and other bonuses,Amabhonasi wokusebenza namanye,Iibhonasi zokugqwesa emsebenzini nezinye/ zomsebenzi oncomekayo nezinye,Amabhonasi ngokusebenza ngokugculisayo namanye,Diputseletšo tša bokgoni le tše dingwe,Dibonase tsa tshebetso le tse ding,Dikatso tsa tiragatsophetelela le tse dingwe,Ibhonasi yekusebenta nalamanye emabhonasi,Mbadelo dza ndivhamashumele na dziṅwe nyingambadelo / bonasi,Tibonasi ta matirhelo na tin’wana
Vaste werknemer,                             Labour                                      ,"An employee appointed on an open-ended contract with no stipulated termination date, and who is entitled to benefits such as paid leave and medical aid contributions paid by employers. This excludes the self-employed at work.",Permanent employee,Isisebenzi sasafuthi/sikanomphela,Umqeshwa osisigxina,Umsebenzi oqashwe ngokugcwele,Mošomelaruri,Mohiruwa wa moshwella,Mothapiwa wa leruri; modiredi wa leruri,Umcashwa ngalokuphelele,Mutholwa-/muhirwa-/ mushumatshoṱhe,Mutirhi wa nkarhi hinkwawo
Persoon buite die arbeidsmag,                             Labour                                      ,"A person who performs unpaid work such as household work, caring for household members and purchasing goods and services for the household (ILO).",Person outside the labour force,Ongekho kabokusebenza,Umntu ongekho kudidi lwabasebenzi,Umuntu ongasebenzi/ ongasebenzi,Mošomi yo a sa šomelego mogolo/moputso,Ya se nang seabo moruong,Motho yo o sa siamelang /lekanelang go dira,Umuntfu lowenta umsebenti longakhokhelwa,Muthu a re nnḓa ha vhalugelamushumo,Munhu loyi a nga weliki ehansi ka vanhu lava ringaneleke ku tirha
Pos,                             Labour                                      ,"A set of tasks, which are (designed to be) carried out by one person. Post may be vacant (ILO).",Post,Isikhundla somsebenzi; iposo,Isithuba somsebenzi,Isikhundla,Poso,Mosebetsi,Phatlhatiro,Sikhala semsebenti/sikhundla,Vhuimo ha mushumo / poswo,Xivandla xa ntirho
Hertoetreder tot werkloosheid,                            Labour                                    ,"Unemployed persons who worked before, and were not economically active before they started looking for work.",Re-entrants into unemployment,Abatlhoge / Abadinge umsebenzi godu,umntu obuyela kwiqela labangasebenziyo,Ongasaqashiwe,Banyakamošomoleswa / Banyakamošomogape,Motho ya kenang kgetlo la bobedi dipalong tsa ba sa sebetseng,"Moipoeletsibotlhokatirong / Batsenagapebotlhokatirong / Mmoelelabotlhokatirong
",Lowake wasebenta,Mudzhenahafhu kha vhushayamushumo,Mahlalele
Besoldiging,                            Labour                                    ,The major part of income from employment which also contains the income from self- employment (ILO).,Remuneration,Imbuyiselo,Umvuzo,Inkokhelo,Mogolo/moputso/tefelo wa/ya bašomedi,Moputso,Moputso; tuelo; mogolo,"Inkhokhelo, imbadalo",Muholo,Muholo
Besoldiging van werknemers,                            Labour                                    ,"Total cost of employment, including salaries, wages, service and other bonuses, allowances (including car allowances), overtime payments, retirement benefits, contributions to medical, pension and provident funds, unemployment insurance and accident funds, and housing subsidies.",Remuneration of employees,Imbuyiselo yeensebenzi,Umvuzo wabasebenzi,Inkokhelo yabasebenzi/yezisebenzi,Mogolo wa bašomedi; moputso wa bašomedi; tefelo ya bašomedi,Moputso wa bahiruwa,Tuelo ya bathapiwa; moputso wa bathapiwa; mogolo wa bathapiwa,Imbadalo/inkhokhelo yebacashwa,Muholo wa vhashumi / vhatholwa / vhahirwa,Muholo wa vatirhi
Afgetrede persoon,                            Labour                                    ,A person who has stopped doing regular work regardless of age. See pensioner.,Retired person,Umhlaliphasi; umpentjheni,Umntu odl’ umhlalaphantsi,Osethathe umhlalaphansi,Morolamodiro,Motho ya seng a sa sebetse; mophenshenara,Morolatiro,Umuntfu lotsetse umhlalaphansi/umhlaliphansi,Munothi / mundendi,Mudendi
Salarisse en lone,                              Labour                                      ,Regular payments for work performed.,Salaries and wages,Imirholo,Imivuzo neentlawulo,Amaholo,Megolo/meputso,Meputso le mekgolo,Dituelo/mogolo le ditefo,"Emaholo nemiholo, tinkhokhelo",Miholo na mbadelo,Miholo
Salaris,                              Labour                                      ,"The amount an employer pays an employee for work done. It is a fixed income for services, which is usually paid on a weekly, bi-weekly or monthly basis, unlike a wage, which is generally paid on an hourly basis. The salary of an employee is usually specified in an employment contract.",Salary,Umrholo,"umrholo, umvuzo",Umholo / Iholo,Moputso / Mogolo,Mokgolo / Moputso,Mogolo / Moputso,Liholo / Umholo,Muholo / Malamba,Muholo
Persoon in eie diens,                              Labour                                      ,"A person who works for himself/herself for pay, profit or family gain, and not for an employer. See employee, employed person.",Self-employed person,Umuntu ozisebenzako,Umntu oziqeshileyo,Ozisebenzayo,Moitiredi/Moitšhomedi,Moitshebetsi,Moithapi; moitiredi,Umuntfu lotisebentako,Muḓishumeli,Mutitirhi
Halfgeskoolde werknemer,                              Labour                                      ,"A person who acquired his/her expertise through a relatively short training period (single days or weeks) after which the required tasks should be efficiently performed. He/she must possess basic literacy and numeracy skills prior to training, but primary education is sufficient as a prerequisite for training.",Semi-skilled employee,Isisebenzi esingakapheleli ngamakghonofundwa,Umqeshwa enezakhono ezingagqibelelanga,Ongaqeqeshiwe ngokugcwele,Mošomi yo a hlahlilwego gannyane,"Motho ya nang le tsebo e haellang ya mosebetsi; mohiruwa wa kwetliso e sa phathahalang
",Modiri wa bokgonipotlana,Umcashwa longenamakhono ngalokuphelele,Mushumi /mutholwa/ muhirwa tshayavhugudiswa tshoṱhe,Mutirhi loyi a nga na xikilinyana
"Skeidings-, diensbeëindigings- en oortolligheidsbetalings",                             Labour                                     ,Include payments of accumulated leave made to employees who finished work during the reference quarter as well as payments intended to compensate for loss of employment.,"Severance, termination and redundancy payments",Iinliliso zokuphela komsebenzi,Iintlawulo zokudendwa nokuphelelwa ngumsebenzi,"Imali yokuyeka, youxoswa nokudilizwa emsebenzini (iphakheji)",Ditefo tša borolamodiro,"Ditefo tsa kgaohano, phediso le phokotso",Dituelo tsa tlogelotiro,"Imbadalo/ inkhokhelo yekucedza budlelwane, yekuyekela nekuphelelwa ngumsebenti
",Mbandelo dza vhufhelelwa nga mushumo,"Tihakelo to tshika, na ku nga pfuni nchumu entirhweni"
Geskoolde werknemer,                             Labour                                     ,A person who has undergone training or education in and/or outside his/her work environment and who is in possession of a minimum level of secondary qualification to qualify for their occupation. An employee in this category must have undergone at least two years’ study or training after having completed grade 12.,Skilled employee,Isisebenzi esinamakghonofundwa,Umqeshwa onezakhono,Oqeqeshiwe,Mošomi yo a hlahlilwego,Mohiruwa ya kwetlisitsweng,Mothapiwa yo o nang le bokgoni; mothapiwa yo o nonofileng,Umcashwa lonemakhono ngalokuphelele,Mushumi-/mutholwa-/muhirwagudiswa,Mutirhi loyi a nga na xikili
